effective_date,symbol
2008-10-01,ITC.NS
2008-10-01,LT.NS
2008-10-01,M&M.NS
2008-10-01,MARUTI.NS
2008-10-01,NATIONALUM.NS
2008-10-01,NTPC.NS
2008-10-01,ONGC.NS
2008-10-01,PNB.NS
2008-10-01,POWERGRID.NS
2008-10-01,RANBAXY.NS
2008-10-01,RCOM.NS
2008-10-01,RELIANCE.NS
2008-10-01,RELINFRA.NS
2008-10-01,RPL.NS
2008-10-01,RPOWER.NS
2008-10-01,SAIL.NS
2008-10-01,SATYAMCOMP.NS
2008-10-01,SBIN.NS
2008-10-01,SIEMENS.NS
2008-10-01,STER.NS
2008-10-01,SUNPHARMA.NS
2008-10-01,SUZLON.NS
2008-10-01,TATACOMM.NS
2008-10-01,TATAMOTORS.NS
2008-10-01,TATAPOWER.NS
2008-10-01,TATASTEEL.NS
2008-10-01,TCS.NS
2008-10-01,UNITECH.NS
2008-10-01,WIPRO.NS
2008-10-01,ZEEL.NS
2008-10-31,ABB.NS
2008-10-31,ACC.NS
2008-10-31,AMBUJACEM.NS
2008-10-31,BHARTIARTL.NS
2008-10-31,BHEL.NS
2008-10-31,BPCL.NS
2008-10-31,CAIRN.NS
2008-10-31,CIPLA.NS
2008-10-31,DLF.NS
2008-10-31,GAIL.NS
2008-10-31,GRASIM.NS
2008-10-31,HCLTECH.NS
2008-10-31,HDFC.NS
2008-10-31,HDFCBANK.NS
2008-10-31,HEROMOTOCO.NS
2008-10-31,HINDALCO.NS
2008-10-31,HINDUNILVR.NS
2008-10-31,ICICIBANK.NS
2008-10-31,IDEA.NS
2008-10-31,INFY.NS
2008-10-31,ITC.NS
2008-10-31,LT.NS
2008-10-31,M&M.NS
2008-10-31,MARUTI.NS
2008-10-31,NATIONALUM.NS
2008-10-31,NTPC.NS
2008-10-31,ONGC.NS
2008-10-31,PNB.NS
2008-10-31,POWERGRID.NS
2008-10-31,RANBAXY.NS
2008-10-31,RCOM.NS
2008-10-31,RELIANCE.NS
2008-10-31,RELINFRA.NS
2008-10-31,RPL.NS
2008-10-31,RPOWER.NS
2008-10-31,SAIL.NS
2008-10-31,SATYAMCOMP.NS
